ក្រុម,ថ្នាក់,ថ្នាក់រង,សេចក្ដីអធិប្បាយ,row_number
,,01491,ដំណើរការកន្លែងចិញ្ចឹមសិប្បីសត្វ​ ដូច​ជា ខ្យង។ល។,102
,,01492,ការចិញ្ចឹមដង្កូវនាង និងផលិតកម្មសម្បុក​ដង្កូវនាង,103
,,01493,ការចិញ្ចឹម​​ឃ្មុំ និងផលិតកម្មទឹកឃ្មុំ​និង​ក្រមួន​ឃ្មុំ,104
,,01499,ការចិញ្ចឹម​សត្វដទៃ​ទៀត​ រាប់​​​​​ទាំងសត្វប្លែកៗ និង​សត្វ​មាន​ជីវិត​ដទៃ​​ទៀត(២),105
016,,,សកម្មភាពគាំទ្រ ដល់កសិកម្មនិងការងារក្រោយប្រមូលផលដំណាំ,106
,0161(3),,សកម្មភាពគាំទ្រដល់ផលិតកម្មដំណាំ,107
,,01610,សកម្មភាពកសិកម្ម​តាម​ការ​បង់​ថ្លៃ​ឈ្នួល​ជាក់​ស្ដែង ឬ​តាម​កិច្ចសន្យា(៤),108
,0162(1),,សកម្មភាពគាំទ្រដល់ផលិតផលកម្មសត្វ,109
,,01620,សកម្មភាព​គាំទ្រ​ដល់​​ផលិតកម្ម​សត្វ តាម​ការ​បង់​ថ្លៃ​ឈ្នួល​ជាក់​ស្ដែង ឬ​តាម​កិច្ចសន្យា (២),110
,0163(3),,សកម្មភាពក្រោយប្រមូលផលដំណាំ,111
,,01630,ការរៀបចំ​ផល​ដំណាំ​សម្រាប់​​ទីផ្សារ បន្ទាប់​ពី​​ប្រមូលផល​រួច​(៤),112
,0164(5),,ការកែច្នៃគ្រាប់ពូជសម្រាប់បណ្ដុះ,113
,,01640,ការកែច្នៃគ្រាប់​ពូជសម្រាប់​បណ្ដុះ​​​,114
017,,,ការប្រមាញ់ ការដាក់អន្ទាក់ និងសកម្មភាពសេវាកម្មដែលទាក់ទង,115
,0170​​(1),,ការប្រមាញ់ ការដាក់អន្ទាក់ និងសកម្មភាពសេវាកម្មដែលទាក់ទង,116
,,01700,ការប្រមាញ់ ការដាក់អន្ទាក់ និងសកម្មភាព​សេវាកម្ម​ដែលទាក់ទង,117
021,,,វនវប្បកម្ម និង​សកម្មភាពរុក្ខកម្មដទៃទៀត,118
,0210​(1),,វនវប្បកម្ម និង​សកម្មភាពរុក្ខកម្មដទៃទៀត,119
,,02100,ការដាំព្រៃឈើរាប់បញ្ចូលទាំងការដាំដុះដើមឈើ​(២),120
022,,,ការកាប់ឈើ​,121
,0220(3),,ការកាប់ឈើ​,122
,,02200,ការកាប់ឈើ​,123
023,,,ការប្រមូលអនុផលព្រៃឈើ,124
,0230(4),,ការប្រមូលអនុផលព្រៃឈើ,125
,,02300,ការប្រមូលអនុផលព្រៃឈើ(៥),126
24,,,សេវាកម្មគាំទ្រដល់សកម្មភាពរុក្ខកម្ម​,127
,0240(6),,សេវាកម្មគាំទ្រដល់សកម្មភាពរុក្ខកម្ម​,128
,,02400,សេវាកម្មគាំទ្រដល់សកម្មភាពរុក្ខកម្ម​(៧),129
031,,,ការនេសាទ,130
,0311(1),,ការនេសាទដែនទឹកប្រៃ,131
,,03111,ការ​នេសាទ​ត្រី​សមុទ្រ​(២),132
,,03112,ការនេសាទបង្គា​,133
,,03113,ការ​នេសាទ​ក្តាម​សមុទ្រ​,134
,,03114,ការ​នេសាទ​ត្រីមឹក ,135
,,03115,ការប្រមូល​សម្បក​​​សិប្បី​សត្វ​សមុទ្រ និងគុជខ្យង​​,136
,,03119,ការនេសាទត្រីសមុទ្រ​ដទៃ​ទៀត​ ដែល​ពុំ​បានរាប់បញ្ចូល,137
,0312(3),,ការនេសាទក្នុងដែនទឹកសាប,138
,,03121,ការ​នេសាទត្រីទឹកសាប,139
,,03122,ការនេសាទបង្កងទឹកសាប​ បង្គា និង​សត្វអម្បូរ​​​សម្បក​​រឹង​​ដទៃទៀត​,140
,,03129,ការនេសាទត្រីទឹកសាប​ដទៃ​ទៀត ដែលពុំ​បានរាប់បញ្ចូល,141
032,,,វារីវប្បកម្ម ,142
,0321(1),,វារីវប្បកម្មក្នុងទឹកប្រៃ,143
,,03211,ការ​​ចិញ្ចឹមត្រី​ក្នុង​ទឹកសមុទ្រ(២),144
,,03212,ផលិតកម្ម​​កូន​​​សត្វ​ពពួក​គ្រំ​​​​​(អ័យ​ស័្ទរ គ្រំចំពុះទា ។ល។) ​កូនបង្កង ​កូន​​បង្គា​ កូន​ត្រី​​,145
,,03213,ការដាំដុះ​សារាយ​សមុទ្រ ​និង​រុក្ខជាតិ​ផ្សេង​ទៀត​​ដែលអាចញ៉ាំបាន​,146
,,03214,ការ​ចិញ្ចឹម​​សត្វ​​អម្បូរ​សម្បក​រឹង ពពួកគ្រំ​និង​សិប្បីសត្វ​ផ្សេង​ទៀត​ និង​វារីសត្វ​​សមុទ្រ​ដទៃ​ទៀត​,147
,,03215,សកម្មភាពវារី​​វប្បកម្ម​នៅក្នុងទឹកភ្លាវ ​,148
,,03219,វារី​​វប្បកម្ម​ក្នុង​ទឹកប្រៃ​​ដទៃ​ទៀត ដែល​ពុំ​​បានរាប់បញ្ចូល,149
,0322(3),,វារីវប្បកម្មក្នុងទឹកសាប ,150
,,03221,ការចិញ្ចឹមត្រីនៅក្នុងទឹកសាប,151
,,03222,ការចិញ្ចឹមបង្កា បង្កងទឹកសាប នៅក្នុងទឹកសាប,152
,,03223,ការចិញ្ចឹមក្រពើ និងក្រពា,153
,,03224,វារី​​វប្បកម្ម​ក្នុង​ទឹកសាប សម្រាប់តាំងលម្អ,154
,,03225,ការចិញ្ចឹមកង្កែប,155
,,03229,វារីវប្បកម្មក្នុងទឹកសាបដទៃទៀត ដែលពុំបានរាប់បញ្ចូល,156
051,,,អាជីវកម្ម​​រ៉ែធ្យូងថ្ម,157
,0510(1),,អាជីវកម្ម​​រ៉ែធ្យូងថ្ម,158
,,05100,អាជីវកម្ម​​រ៉ែធ្យូងថ្ម,159
052,,,អាជីវកម្ម​​រ៉ែធ្យូងភក់,160
,0520(2),,អាជីវកម្ម​​រ៉ែធ្យូងភក់,161
,,05200,អាជីវកម្ម​​រ៉ែធ្យូងភក់​,162
061,,,ផលិតកម្មប្រេងឆៅ,163
,0610(1),,ផលិតកម្មប្រេងឆៅ,164
,,06100,ផលិតកម្មប្រេងឆៅ,165
062,,,ផលិតកម្មឧស្ម័នធម្មជាតិ,166
,0620(2),,ផលិតកម្មឧស្ម័នធម្មជាតិ,167
