Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in USD,Term Loans,2019-02-01,18.280
Interest Rate on Deposits and Loans in USD,Other Loans,2019-02-01,9.720
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-02-01,6.910
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-02-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-03-01,0.010
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-03-01,0.660
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-03-01,5.270
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-03-01,8.080
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-03-01,16.600
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-03-01,11.310
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-03-01,7.440
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-03-01,0.180
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-03-01,0.330
Interest Rate on Deposits and Loans in USD,Overdraft,2019-03-01,3.410
Interest Rate on Deposits and Loans in USD,Credit Card,2019-03-01,2.130
Interest Rate on Deposits and Loans in USD,Term Loans,2019-03-01,7.570
Interest Rate on Deposits and Loans in USD,Other Loans,2019-03-01,16.370
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-03-01,9.830
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-03-01,6.570
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-03-01,0.200
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-03-01,0.700
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-03-01,6.010
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-03-01,7.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-03-01,8.200
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-03-01,19.120
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-03-01,12.740
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-03-01,7.710
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-03-01,0.500
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-03-01,0.580
Interest Rate on Deposits and Loans in USD,Overdraft,2019-03-01,4.580
Interest Rate on Deposits and Loans in USD,Credit Card,2019-03-01,2.470
Interest Rate on Deposits and Loans in USD,Term Loans,2019-03-01,7.990
Interest Rate on Deposits and Loans in USD,Other Loans,2019-03-01,15.730
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-03-01,9.640
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-03-01,7.010
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-03-01,
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-04-01,0.020
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-04-01,0.600
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-04-01,5.590
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-04-01,7.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-04-01,7.920
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-04-01,17.570
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-04-01,10.220
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-04-01,5.310
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-04-01,0.190
Interest Rate on Deposits and Loans in USD,Overdraft,2019-04-01,0.290
Interest Rate on Deposits and Loans in USD,Credit Card,2019-04-01,3.360
Interest Rate on Deposits and Loans in USD,Term Loans,2019-04-01,2.370
Interest Rate on Deposits and Loans in USD,Other Loans,2019-04-01,7.600
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-04-01,18.910
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-04-01,9.380
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-04-01,6.060
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-04-01,0.190
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-04-01,0.920
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-04-01,5.950
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-04-01,2.540
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-04-01,8.170
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-04-01,19.080
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-04-01,12.130
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-04-01,6.940
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-04-01,0.460
Interest Rate on Deposits and Loans in USD,Overdraft,2019-04-01,0.470
Interest Rate on Deposits and Loans in USD,Credit Card,2019-04-01,4.320
Interest Rate on Deposits and Loans in USD,Term Loans,2019-04-01,2.260
Interest Rate on Deposits and Loans in USD,Other Loans,2019-04-01,7.990
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-04-01,16.200
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-04-01,9.720
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-04-01,6.930
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-04-01,
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-05-01,0.030
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-05-01,0.630
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-05-01,5.120
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-05-01,7.870
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-05-01,17.680
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-05-01,10.490
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-05-01,5.880
Interest Rate on Deposits and Loans in USD,Overdraft,2019-05-01,0.180
Interest Rate on Deposits and Loans in USD,Credit Card,2019-05-01,0.280
Interest Rate on Deposits and Loans in USD,Term Loans,2019-05-01,3.390
Interest Rate on Deposits and Loans in USD,Other Loans,2019-05-01,2.500
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-05-01,7.560
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-05-01,16.400
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-05-01,9.600
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-05-01,6.680
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-05-01,0.210
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-05-01,0.880
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-05-01,5.780
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-05-01,0.620
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-05-01,8.190
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-05-01,19.030
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-05-01,11.940
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-05-01,6.740
Interest Rate on Deposits and Loans in USD,Overdraft,2019-05-01,0.390
Interest Rate on Deposits and Loans in USD,Credit Card,2019-05-01,0.460
Interest Rate on Deposits and Loans in USD,Term Loans,2019-05-01,4.310
Interest Rate on Deposits and Loans in USD,Other Loans,2019-05-01,2.480
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-05-01,7.990
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-05-01,16.060
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-05-01,9.740
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-05-01,6.950
Interest Rate on Deposits and Loans in USD,Overdraft,2019-05-01,
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-06-01,0.030
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-06-01,0.620
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-06-01,3.990
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-06-01,3.580
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-06-01,7.730
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-06-01,17.550
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-06-01,10.420
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-06-01,10.130
Interest Rate on Deposits and Loans in USD,Credit Card,2019-06-01,0.240
Interest Rate on Deposits and Loans in USD,Term Loans,2019-06-01,0.270
Interest Rate on Deposits and Loans in USD,Other Loans,2019-06-01,3.610
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-06-01,2.630
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-06-01,7.850
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-06-01,14.760
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-06-01,9.370
Interest Rate on Deposits and Loans in USD,Overdraft,2019-06-01,6.590
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-06-01,0.210
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-06-01,0.910
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-06-01,5.460
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-06-01,3.560
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-06-01,8.110
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-06-01,9.100
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-06-01,11.690
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-06-01,7.590
Interest Rate on Deposits and Loans in USD,Credit Card,2019-06-01,0.450
Interest Rate on Deposits and Loans in USD,Term Loans,2019-06-01,0.480
Interest Rate on Deposits and Loans in USD,Other Loans,2019-06-01,4.780
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-06-01,2.650
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-06-01,7.950
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-06-01,10.630
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-06-01,9.710
Interest Rate on Deposits and Loans in USD,Overdraft,2019-06-01,6.930
Interest Rate on Deposits and Loans in USD,Credit Card,2019-06-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-07-01,0.040
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-07-01,0.590
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-07-01,5.130
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-07-01,3.050
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-07-01,8.050
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-07-01,17.450
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-07-01,10.600
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-07-01,8.160
Interest Rate on Deposits and Loans in USD,Term Loans,2019-07-01,0.180
Interest Rate on Deposits and Loans in USD,Other Loans,2019-07-01,0.240
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-07-01,3.620
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-07-01,2.610
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-07-01,7.480
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-07-01,16.520
Interest Rate on Deposits and Loans in USD,Overdraft,2019-07-01,9.610
Interest Rate on Deposits and Loans in USD,Credit Card,2019-07-01,6.690
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-07-01,0.210
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-07-01,0.870
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-07-01,5.700
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-07-01,2.980
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-07-01,8.100
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-07-01,18.670
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-07-01,11.380
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-07-01,7.730
Interest Rate on Deposits and Loans in USD,Term Loans,2019-07-01,0.480
Interest Rate on Deposits and Loans in USD,Other Loans,2019-07-01,0.440
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-07-01,4.330
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-07-01,2.580
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-07-01,7.950
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-07-01,16.090
Interest Rate on Deposits and Loans in USD,Overdraft,2019-07-01,9.680
Interest Rate on Deposits and Loans in USD,Credit Card,2019-07-01,6.950
Interest Rate on Deposits and Loans in USD,Term Loans,2019-07-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-08-01,0.020
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-08-01,0.550
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-08-01,4.760
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-08-01,4.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-08-01,7.850
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-08-01,15.280
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-08-01,10.020
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-08-01,5.650
Interest Rate on Deposits and Loans in USD,Other Loans,2019-08-01,0.150
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-08-01,0.250
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-08-01,3.550
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-08-01,2.740
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-08-01,7.480
Interest Rate on Deposits and Loans in USD,Overdraft,2019-08-01,14.490
Interest Rate on Deposits and Loans in USD,Credit Card,2019-08-01,9.820
Interest Rate on Deposits and Loans in USD,Term Loans,2019-08-01,6.730
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-08-01,0.210
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-08-01,0.880
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-08-01,5.690
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-08-01,2.920
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-08-01,8.080
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-08-01,18.180
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-08-01,11.200
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-08-01,6.800
Interest Rate on Deposits and Loans in USD,Other Loans,2019-08-01,0.510
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-08-01,0.440
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-08-01,4.350
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-08-01,2.610
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-08-01,7.940
Interest Rate on Deposits and Loans in USD,Overdraft,2019-08-01,15.290
Interest Rate on Deposits and Loans in USD,Credit Card,2019-08-01,9.590
Interest Rate on Deposits and Loans in USD,Term Loans,2019-08-01,7.200
Interest Rate on Deposits and Loans in USD,Other Loans,2019-08-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-09-01,0.020
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-09-01,0.560
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-09-01,4.670
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-09-01,3.580
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-09-01,7.840
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-09-01,17.320
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-09-01,10.250
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-09-01,7.880
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-09-01,0.130
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-09-01,0.220
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-09-01,3.280
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-09-01,2.490
Interest Rate on Deposits and Loans in USD,Overdraft,2019-09-01,7.500
Interest Rate on Deposits and Loans in USD,Credit Card,2019-09-01,13.650
Interest Rate on Deposits and Loans in USD,Term Loans,2019-09-01,9.260
Interest Rate on Deposits and Loans in USD,Other Loans,2019-09-01,6.490
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-09-01,0.210
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-09-01,0.880
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-09-01,5.590
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-09-01,2.920
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-09-01,8.110
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-09-01,17.960
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-09-01,11.150
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-09-01,7.020
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-09-01,0.440
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-09-01,0.430
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-09-01,4.380
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-09-01,2.580
Interest Rate on Deposits and Loans in USD,Overdraft,2019-09-01,7.920
Interest Rate on Deposits and Loans in USD,Credit Card,2019-09-01,15.970
Interest Rate on Deposits and Loans in USD,Term Loans,2019-09-01,9.560
Interest Rate on Deposits and Loans in USD,Other Loans,2019-09-01,7.100
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-09-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-10-01,0.080
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-10-01,0.600
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-10-01,4.460
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-10-01,3.110
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-10-01,7.850
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-10-01,16.700
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-10-01,10.060
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-10-01,6.920
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-10-01,0.180
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-10-01,0.260
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-10-01,3.420
Interest Rate on Deposits and Loans in USD,Overdraft,2019-10-01,2.310
Interest Rate on Deposits and Loans in USD,Credit Card,2019-10-01,7.710
Interest Rate on Deposits and Loans in USD,Term Loans,2019-10-01,12.770
Interest Rate on Deposits and Loans in USD,Other Loans,2019-10-01,8.880
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-10-01,6.720
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-10-01,0.210
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-10-01,0.900
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-10-01,5.510
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-10-01,2.970
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-10-01,8.110
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-10-01,17.740
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-10-01,11.040
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-10-01,7.080
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-10-01,0.360
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-10-01,0.430
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-10-01,4.340
Interest Rate on Deposits and Loans in USD,Overdraft,2019-10-01,2.440
Interest Rate on Deposits and Loans in USD,Credit Card,2019-10-01,7.850
Interest Rate on Deposits and Loans in USD,Term Loans,2019-10-01,15.740
Interest Rate on Deposits and Loans in USD,Other Loans,2019-10-01,9.550
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-10-01,7.130
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-10-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-11-01,0.090
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-11-01,0.610
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-11-01,5.250
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-11-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-11-01,8.010
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-11-01,16.410
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-11-01,10.130
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-11-01,6.070
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-11-01,0.300
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-11-01,0.240
Interest Rate on Deposits and Loans in USD,Overdraft,2019-11-01,3.640
Interest Rate on Deposits and Loans in USD,Credit Card,2019-11-01,2.270
Interest Rate on Deposits and Loans in USD,Term Loans,2019-11-01,7.470
Interest Rate on Deposits and Loans in USD,Other Loans,2019-11-01,13.500
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-11-01,9.280
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-11-01,6.650
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-11-01,0.230
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-11-01,0.900
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-11-01,5.500
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-11-01,3.020
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-11-01,8.200
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-11-01,17.500
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-11-01,10.880
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-11-01,6.950
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-11-01,0.430
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-11-01,0.430
Interest Rate on Deposits and Loans in USD,Overdraft,2019-11-01,4.330
Interest Rate on Deposits and Loans in USD,Credit Card,2019-11-01,2.400
Interest Rate on Deposits and Loans in USD,Term Loans,2019-11-01,7.850
Interest Rate on Deposits and Loans in USD,Other Loans,2019-11-01,15.580
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-11-01,9.510
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-11-01,7.150
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-11-01,
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-12-01,0.120
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-12-01,0.600
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-12-01,4.100
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-12-01,2.470
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-12-01,7.720
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-12-01,16.730
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-12-01,9.130
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-12-01,5.590
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-12-01,0.200
Interest Rate on Deposits and Loans in USD,Overdraft,2019-12-01,0.240
Interest Rate on Deposits and Loans in USD,Credit Card,2019-12-01,3.440
Interest Rate on Deposits and Loans in USD,Term Loans,2019-12-01,2.470
Interest Rate on Deposits and Loans in USD,Other Loans,2019-12-01,7.570
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-12-01,11.970
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-12-01,8.720
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-12-01,6.500
Interest Rate on Deposits and Loans in KHR,Other Deposits,2019-12-01,0.220
Interest Rate on Deposits and Loans in KHR,Overdraft,2019-12-01,0.910
Interest Rate on Deposits and Loans in KHR,Credit Card,2019-12-01,5.420
Interest Rate on Deposits and Loans in KHR,Term Loans,2019-12-01,2.810
Interest Rate on Deposits and Loans in KHR,Other Loans,2019-12-01,8.080
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2019-12-01,17.290
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2019-12-01,10.620
Interest Rate on Deposits and Loans in KHR,Term Deposits,2019-12-01,6.280
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-12-01,0.350
Interest Rate on Deposits and Loans in USD,Overdraft,2019-12-01,0.430
Interest Rate on Deposits and Loans in USD,Credit Card,2019-12-01,4.340
Interest Rate on Deposits and Loans in USD,Term Loans,2019-12-01,2.430
Interest Rate on Deposits and Loans in USD,Other Loans,2019-12-01,7.820
Interest Rate on Deposits and Loans in USD,Demand Deposits,2019-12-01,15.530
Interest Rate on Deposits and Loans in USD,Saving Deposits,2019-12-01,9.510
Interest Rate on Deposits and Loans in USD,Term Deposits,2019-12-01,7.190
Interest Rate on Deposits and Loans in USD,Other Deposits,2019-12-01,
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-01-01,0.030
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-01-01,0.670
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-01-01,4.590
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-01-01,3.350
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-01-01,7.820
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-01-01,16.690
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-01-01,11.110
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-01-01,7.650
Interest Rate on Deposits and Loans in USD,Overdraft,2020-01-01,0.110
Interest Rate on Deposits and Loans in USD,Credit Card,2020-01-01,0.250
Interest Rate on Deposits and Loans in USD,Term Loans,2020-01-01,3.700
Interest Rate on Deposits and Loans in USD,Other Loans,2020-01-01,2.030
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-01-01,7.590
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-01-01,11.180
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-01-01,9.550
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-01-01,6.410
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-01-01,0.160
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-01-01,0.920
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-01-01,5.640
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-01-01,1.840
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-01-01,8.140
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-01-01,17.250
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-01-01,10.700
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-01-01,6.780
Interest Rate on Deposits and Loans in USD,Overdraft,2020-01-01,0.300
Interest Rate on Deposits and Loans in USD,Credit Card,2020-01-01,0.440
Interest Rate on Deposits and Loans in USD,Term Loans,2020-01-01,4.410
Interest Rate on Deposits and Loans in USD,Other Loans,2020-01-01,2.160
Interest Rate on Deposits and Loans in USD,Demand Deposits,2020-01-01,7.880
Interest Rate on Deposits and Loans in USD,Saving Deposits,2020-01-01,15.700
Interest Rate on Deposits and Loans in USD,Term Deposits,2020-01-01,9.620
Interest Rate on Deposits and Loans in USD,Other Deposits,2020-01-01,7.180
Interest Rate on Deposits and Loans in USD,Overdraft,2020-01-01,
Interest Rate on Deposits and Loans in KHR,Credit Card,2020-02-01,0.150
Interest Rate on Deposits and Loans in KHR,Term Loans,2020-02-01,0.650
Interest Rate on Deposits and Loans in KHR,Other Loans,2020-02-01,4.710
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2020-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2020-02-01,7.610
Interest Rate on Deposits and Loans in KHR,Term Deposits,2020-02-01,16.380
Interest Rate on Deposits and Loans in KHR,Other Deposits,2020-02-01,11.020
Interest Rate on Deposits and Loans in KHR,Overdraft,2020-02-01,7.250
Interest Rate on Deposits and Loans in USD,Credit Card,2020-02-01,0.200
